ok  	github.com/openshift/origin/pkg/user/registry/useridentitymapping	0.050s
ok  	github.com/openshift/origin/pkg/util	0.073s
ok  	github.com/openshift/origin/pkg/util/docker/dockerfile	0.106s
ok  	github.com/openshift/origin/pkg/util/http/links	0.025s
ok  	github.com/openshift/origin/pkg/util/jsonmerge	0.005s
ok  	github.com/openshift/origin/pkg/util/labelselector	0.040s
ok  	github.com/openshift/origin/pkg/util/namer	0.079s
ok  	github.com/openshift/origin/pkg/util/parallel	0.081s
ok  	github.com/openshift/origin/pkg/util/ratelimiter	14.091s
ok  	github.com/openshift/origin/pkg/util/stringreplace	0.006s
ok  	github.com/openshift/origin/plugins/route/allocation/simple	0.099s
ok  	github.com/openshift/origin/plugins/router/f5	5.637s
ok  	github.com/openshift/origin/plugins/router/template	0.039s
ok  	github.com/openshift/origin/test/integration	0.038s
ok  	github.com/openshift/origin/tools/junitreport/pkg/builder/flat	0.018s
ok  	github.com/openshift/origin/tools/junitreport/pkg/builder/nested	0.005s
ok  	github.com/openshift/origin/tools/junitreport/pkg/parser/gotest	0.033s
ok  	github.com/openshift/origin/tools/junitreport/pkg/parser/stack	0.100s
ok  	github.com/openshift/origin/tools/rebasehelpers/commitchecker	0.015s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/api	2.517s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/api/v1	0.071s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/cmd/kube-apiserver/app	0.067s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/cmd/kube-proxy/app	0.035s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/examples	0.065s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/admission	0.020s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apimachinery/registered	0.008s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/abac/v0	0.018s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/authorization/validation	0.042s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/componentconfig	0.036s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/componentconfig/install	0.057s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apiserver	1.929s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/extensions	0.031s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/extensions/install	0.044s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/extensions/v1beta1	0.018s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/apis/extensions/validation	0.061s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/auth/authenticator/bearertoken	0.069s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/auth/authorizer/abac	0.131s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/auth/authorizer/union	0.011s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/auth/handlers	0.035s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/cache	0.375s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/chaosclient	0.044s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/leaderelection	0.027s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/record	0.100s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/transport	0.047s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned	22.381s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/auth	0.031s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/clientcmd	0.080s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/clientcmd/api	0.106s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/portforward	0.130s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/remotecommand	0.230s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/client/unversioned/testclient	0.014s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/aws	0.018s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/gce	0.073s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/mesos	0.771s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/openstack	0.047s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/ovirt	0.015s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/cloudprovider/providers/rackspace	0.014s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller	0.022s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/daemon	0.155s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/deployment	0.015s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/endpoint	0.046s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/framework	1.324s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/gc	0.038s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/job	0.078s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/namespace	0.063s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/node	0.059s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/persistentvolume	10.123s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/podautoscaler	24.079s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/podautoscaler/metrics	0.019s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/replication	9.834s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/resourcequota	0.015s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/route	0.071s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/service	0.020s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/controller/serviceaccount	0.018s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/conversion	0.730s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/conversion/queryparams	0.005s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/credentialprovider	2.023s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/credentialprovider/aws	0.026s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/credentialprovider/gcp	0.053s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/fieldpath	0.031s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/fields	0.005s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/genericapiserver	3.619s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/healthz	0.006s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/httplog	0.020s
E0315 13:36:00.711704   34454 describe.go:444] Unable to construct reference to '&api.Pod{TypeMeta:unversioned.TypeMeta{Kind:"", APIVersion:""}, ObjectMeta:api.ObjectMeta{Name:"bar", GenerateName:"", Namespace:"foo", SelfLink:"", UID:"", ResourceVersion:"", Generation:0, CreationTimestamp:unversioned.Time{Time:time.Time{sec:0, nsec:0, loc:(*time.Location)(nil)}}, DeletionTimestamp:(*unversioned.Time)(nil), DeletionGracePeriodSeconds:(*int64)(nil), Labels:map[string]string(nil), Annotations:map[string]string(nil)}, Spec:api.PodSpec{Volumes:[]api.Volume(nil), Containers:[]api.Container(nil), RestartPolicy:"", TerminationGracePeriodSeconds:(*int64)(nil), ActiveDeadlineSeconds:(*int64)(nil), DNSPolicy:"", NodeSelector:map[string]string(nil), ServiceAccountName:"", NodeName:"", SecurityContext:(*api.PodSecurityContext)(nil), ImagePullSecrets:[]api.LocalObjectReference(nil)}, Status:api.PodStatus{Phase:"", Conditions:[]api.PodCondition(nil), Message:"", Reason:"", HostIP:"", PodIP:"", StartTime:(*unversioned.Time)(nil), ContainerStatuses:[]api.ContainerStatus(nil)}}': selfLink was empty, can't make reference
hello test!
2 days ago:
2016-03-13 13:36:00.725236 -0400 EDT
2016-03-15 13:36:00.725257 -0400 EDT
2016-03-13 13:36:00.725257 -0400 EDT
48h0m0.000005s
--- FAIL: TestTranslateTimestamp (0.00s)
	resource_printer_test.go:1236: On months ago, expected '90d', but got '89d'
FAIL
FAIL	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl	0.236s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl/cmd	0.286s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl/cmd/config	0.484s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl/cmd/util	0.226s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl/cmd/util/editor	0.228s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubectl/resource	0.060s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet	0.857s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/client	0.024s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/cm	0.082s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/config	0.081s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/container	0.095s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/dockertools	0.809s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/envvars	0.053s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/lifecycle	0.087s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/network	0.072s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/network/cni	0.177s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/network/exec	0.091s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/network/hairpin	0.018s
ok  	github.com/openshift/origin/Godeps/_workspace/src/k8s.io/kubernetes/pkg/kubelet/pleg	0.089s
